Gene 1,Gene 2
114787,375519
114787,285613
114787,7448
114787,4914
114787,51343
114787,8089
114787,2775
114787,3184
114787,29785
114787,2781
114787,5793
114787,23528
114787,84548
114787,51150
114787,54825
114787,10217
114787,57559
114787,1901
114786,55200
114786,137695
114786,9662
114785,11340
114785,3607
114785,221937
114785,8338
114785,11266
114785,342371
114785,23172
114785,221656
114785,118460
114785,221613
114785,55252
114785,92815
114785,54464
114785,8314
114785,8331
114785,8337
114785,8334
114785,3054
114785,171023
114785,85235
114785,1994
114785,3013
114785,7311
114785,8930
114785,7314
114785,6233
114784,25
114784,4690
114784,5335
114784,2534
114784,1398
114783,7704
114783,5980
114783,5499
114783,4609
221545,55605
221545,5347
221545,1460
221545,55294
114781,9616
114781,84893
114781,121551
114781,79791
114781,339745
114781,26260
114781,51013
114781,55964
114781,5607
114781,5887
114781,129285
114781,10130
114781,26224
114781,491
114781,25841
114781,8945
114781,55294
114781,11124
114781,874
114781,112936
114781,114609
114781,25827
114781,26272
114781,26270
114781,90135
114781,26232
114781,162517
114781,4738
114781,54810
114781,29761
114781,23291
114781,55031
114781,57456
114781,253827
114781,54165
114781,126433
114781,4211
114781,899
114781,8454
114781,8405
114781,8452
114781,80325
114781,23194
114781,22903
114781,390598
114781,11146
114781,54836
114781,114907
114781,220134
114781,51035
114781,6502
114781,10987
114781,6500
114781,10980
114781,55040
114781,54620
114781,126326
114781,55890
114781,115290
114781,26268
114781,9550
114781,26043
114781,9978
114781,10755
114781,53339
114781,93611
114780,5587
114780,27039
114780,2768
114780,2771
114780,5310
114780,6464
114780,168507
114780,6733
114780,4543
143888,55061
143888,64856
143888,160140
143888,26270
143888,79600
143888,649
114789,23012
114789,3914
114789,10988
114789,6564
114789,3598
114789,79085
114789,6272
114789,4035
114789,974
114789,10482
114789,10492
114788,79954
114788,312
114788,348995
114788,83695
114788,7227
114788,392255
28996,5553
28996,1263
28996,8626
28996,7329
28996,6721
28996,10212
28996,25
28996,340571
28996,6478
28996,55294
28996,26574
28996,5371
28996,8493
28996,26273
28996,8717
28996,25942
28996,23118
28996,9063
28996,2919
28996,54739
28996,1026
28996,1499
28996,8535
28996,4172
28996,83439
28996,4878
28996,7089
28996,1385
28996,1387
28996,10048
28996,10454
28996,84445
28996,10733
28996,1482
28996,4208
28996,9149
28996,1487
28996,128866
28996,10238
28996,3303
28996,4204
28996,1859
28996,140894
28996,4214
28996,51176
28996,9525
28996,4193
28996,8454
28996,6672
28996,3159
28996,2274
28996,5577
28996,5576
28996,8349
28996,5080
28996,5573
28996,3091
28996,29843
28996,579
28996,7132
28996,345651
28996,6477
28996,7919
28996,7341
28996,8945
28996,7090
28996,7091
28996,7157
28996,4824
28996,126520
28996,9133
28996,2626
